Segment,Customers,Avg_Recency,Avg_Frequency,Avg_Monetary,Total_Revenue,Priority,Recommendation
Champions,591,7.3,13.9,7657.6,4525669.2,Retain,"Reward with loyalty perks, early access, and referral incentives. Avoid discounting -- retention risk is already low."
Loyal Customers,590,20.1,6.1,2761,1629003.2,Grow,Upsell/cross-sell via personalized recommendations; invite into a loyalty tier to push them toward Champions.
Potential Loyalists,487,24.6,2.8,1376.1,670136.6,Grow,Encourage a second/third purchase with a targeted follow-up offer and loyalty program enrollment.
At Risk,302,142.6,4.9,1973.3,595942.2,Win back,High historical value but going quiet -- prioritize a personalized win-back offer over generic email blasts.
Need Attention,323,87.5,3.3,1228.6,396821.8,Win back,Time-limited reactivation offer before they slide further into 'About to Sleep'.
About to Sleep,612,83.2,1.3,551.7,337625.5,Nurture,"Reminder/reactivation email with a modest incentive; low cost, moderate upside."
Lost,520,262.6,1,481.4,250323.7,Deprioritize,Lowest value and most dormant -- not worth active win-back spend.
Hibernating,384,244.1,1.5,480.8,184643.4,Deprioritize,Low historical value and long dormant -- low-cost/automated reactivation only.
Promising,248,32.2,1.7,588.1,145848.5,Nurture,Onboarding content and small incentives to convert into repeat buyers.
New Customers,253,26.5,1,351.4,88915.9,Nurture,Welcome series and a first-repeat-purchase incentive to build early habit.
Can't Lose Them,28,216.1,7.9,2224.2,62279,Win back,"Small group of former top spenders -- worth direct, high-touch outreach rather than automated campaigns."
